Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Pat Connaughton,Local Hero,154000,58900,212900,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Domantas Sabonis,Rising Star,178000,39300,217300,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Emmanuel Mudiay,Rising Star,376000,40000,416000,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Trey Burke,Vet,362000,168300,530300,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Ja Morant,Rookie,3200000,686100,3868100,DoorDash,8/17/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,50000
Aaron Gordon,Vet,1200000,182700,1382700,DoorDash,8/17/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,40000
Victor Oladipo,All-Star,1400000,304000,1704000,DoorDash,8/17/20,1 IG Post,Instagram,#PlayItFoward,40000
CJ McCollum,Vet,1400000,396000,1796000,DoorDash,8/17/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,40000
Jrue Holiday,Vet,302000,142000,444000,DoorDash,8/17/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,30000
Harrison Barnes,Vet,1000000,606800,1606800,DoorDash,8/17/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,40000
Donovan Mitchell,All-Star,3100000,763600,3863600,DoorDash,8/18/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,40000
Bradley Beal,All-Star,1100000,500300,1600300,DoorDash,8/18/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,40000
Jamal Murray,Rising Star,510000,112400,622400,DoorDash,8/18/20,1 IG Post; 1 Tweet,Instagram,#PlayItFoward,30000
Shai Gilgeous-Alexander,Rising Star,666000,76800,742800,DoorDash,8/19/20,1 IG Post; Tweet,Instagram,#PlayItFoward,30000
Dennis Schroder,Vet,1300000,,1300000,DoorDash,8/19/20,1 IG Post,Instagram,#PlayItFoward,40000
Bradley Beal,All-Star,"1,200,000","536k","1,736,000",Budweiser,"(date not listed)","1 IG Post; 1 Tweet",Instagram/Twitter,"Bud Zero","$50,000"
Miles Bridges,Rising Star,"394,000","120.4k","514,000",Sprite,"(date not listed)","1 Twitter Live; 1 Tweet",Twitter,"Create the Change","$30,000"
Danny Green,Vet,"1,300,000","640.5k","1,940,000",Michelob Ultra,12/21/20,"1 Tweet",Twitter,"Championship Celebration","$15,000"
Kyle Kuzma,Rising Star,"5,100,000","1m","6,100,000",Michelob Ultra,12/21/20,"1 IG Post; 1 Tweet",Instagram/Twitter,"Championship Celebration","$50,000"
Alex Caruso,Local Hero,"1,400,000","265.4k","1,660,400",Michelob Ultra,12/21/20,"1 Tweet",Twitter,"Championship Celebration","$10,000"
Javale McGee,Vet,"1,800,000","351.3k","2,151,300",Michelob Ultra,12/21/20,"1 Tweet",Twitter,"Championship Celebration","$10,000"
Quinn Cook,Vet,"1,000,000","203.4k","1,203,400",Michelob Ultra,12/21/20,"1 Tweet",Twitter,"Championship Celebration","$10,000"
KCP,Vet,"(not listed)","(not listed)","(not listed)","(not listed)","(not listed)","(not listed)","(not listed)","(not listed)","(not listed)"
Alfonzo McKinnie,Rising Star,"101,000","17.3k","118,300",Budweiser,2/12/21,"1 IG Post",Instagram,"Mitchell & Ness Cans","$8,000"
Danilo Gallinari,Vet,"411,000","705.8k","1,116,800",Budweiser,2/12/21,"1 IG Post",Instagram,"Mitchell & Ness Cans","$8,000"
Jahil Okafor,Hometown Hero,"541,000","138.2k","679,000",Budweiser,2/12/21,"1 IG Post",Instagram,"Mitchell & Ness Cans","$12,000"
Eric Paschall,Hometown Hero,"179,000","43k","222,000",Budweiser,2/12/21,"1 IG Post",Instagram,"Mitchell & Ness Cans","$8,000"
Karl Anthony Towns,All-Star,"3.6m","687.2k","4,287,200",Quickbooks,"(date not listed)","2 IG In-feed; 1 TikTok","(not listed)","(not listed)","$150,000"
Jaylen Brown,All-Star,"2.4m","523.8k","2,923,800",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$125,000"
Seth Curry,Vet,"2.1m","352.1k","2,452,100",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$125,000"
Tyler Herro,Rising Star,"2.3m","345.3k","2,645,300",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$125,000"
Kyle Kuzma,Rising Star,"4.9m","1.1m","6,000,000",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$175,000"
Julius Randle,All-Star,"929k","475.9k","1,404,900",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$115,000"
Harrison Barnes,Vet,"1m","592.6k","1,592,600",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$125,000"
Shai Gilgeous-Alexander,Rising Star,"1.1m","124.2k","1,224,200",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$115,000"
Tacko Fall,Hometown Hero,"1m","62.8","1,062,800",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$125,000"
Trae Young,All-Star,"4.4m","1.4m","5,800,000",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$200,000"
Aaron Gordon,Vet,"1.1m","205.2k","1,305,200",Quickbooks,"(date not listed)","(not listed)","(not listed)","(not listed)","$125,000"
Jalen Suggs,Rising Star,"559,000","45.6k","604,600",Head & Shoulders,4/8/22,"1 Instagram Post",Instagram,"Never Not Working Campaign","$25,000"
