name,instagram,reason
"A.J. Lawson","ajlawson","login_wall"
"AJ Green","ajgreen_18","login_wall"
"AJ Johnson","theajzone","login_wall"
"Aaron Gordon","aarongordon","login_wall"
"Aaron Holiday","the_4th_holiday","login_wall"
"Aaron Nesmith","aaron_nesmith","login_wall"
"Aaron Wiggins","a.wigg","login_wall"
"Ace Bailey","acebailey","login_wall"
