name,following,followers
Johnny Furphy,538,111000
Daniel Gafford,5179,165000
Myron Gardner,1061,7746
Darius Garland,1084,590000
Luka Garza,1125,148000
Keyonte George,595,183000
Kyshawn George,569,51000
Paul George,945,10000000
Josh Giddey,435,506000
Shai Gilgeous-Alexander,479,5000000
Anthony Gill,1086,15000
Collin Gillespie,2167,78000
Rudy Gobert,873,828000
Vladislav Goldin,258,17000
Hugo González,374,112000
Quentin Grimes,339,277000
Mouhamed Gueye,773,25000
Rui Hachimura,2,1000000
Tyrese Haliburton,888,2000000
PJ Hall,1965,32000
Tim Hardaway Jr.,643,494000
James Harden,619,12000000
Jaden Hardy,421,375000
Elijah Harkless,1188,21000
Dylan Harper,1192,453000
Ron Harper Jr.,1370,64000
Gary Harris,992,137000
Tobias Harris,1856,443000
Josh Hart,989,1000000
Isaiah Hartenstein,784,229000
Sam Hauser,960,83000
Jordan Hawkins,1077,75000
Jaxson Hayes,1729,361000
Scoot Henderson,919,434000
Taylor Hendricks,1017,59000
Chucky Hepburn,1927,42000
Tyler Herro,429,2000000
Buddy Hield,2083,703000
Haywood Highsmith,1777,36000
Blake Hinson,2127,16000
Aaron Holiday,1359,74000
Jrue Holiday,5701,862000
Ronald Holland II,295,96000
DaRon Holmes II,1833,35000
Chet Holmgren,838,952000
Al Horford,362,768000
Caleb Houstan,184,362
Jett Howard,924,63000
Kevin Huerter,1072,128000
Jay Huff,1366,46000
Ariel Hukporti,428,27000
De'Andre Hunter,,
Bones Hyland,232,401000
Oso Ighodaro,847,25000
Joe Ingles,48,5964
Brandon Ingram,552,2000000
Harrison Ingram,1003,46000
Kyrie Irving,1619,20000000
Jonathan Isaac,1376,465000
Jaden Ivey,347,14000
GG Jackson,1098,106000
Isaiah Jackson,557,106000
Quenton Jackson,1949,21000
Andre Jackson Jr.,1009,88000
Jaren Jackson Jr.,935,595000
Trayce Jackson-Davis,757,162000
Kasparas Jakučionis,757,60000
Bronny James,1022,8000000
Sion James,948,35000
Jaime Jaquez Jr.,940,391000
Trey Jemison III,998,72000
Daniss Jenkins,1325,19000
Ty Jerome,690,102000
Isaiah Joe,1049,116000
AJ Johnson,910,173000
Cameron Johnson,996,239000
Chaney Johnson,1472,11000
Jalen Johnson,343,203000
Keldon Johnson,2181,166000
Keshad Johnson,1846,42000
Tre Johnson,1112,70000
Nikola Jokić,114,401000
Curtis Jones,387,2000000
Dillon Jones,1389,22000
Herbert Jones,2391,79000
Isaac Jones,1807,9500
Walker Kessler,800,110000
Corey Kispert,1152,74000
Maxi Kleber,661,143000
Bobi Klintman,788,30000
Dalton Knecht,732,351000
Kon Knueppel,635,219000
Tyler Kolek,985,170000
Christian Koloko,784,54000
John Konchar,721,23000
Luke Kornet,3,275
Vít Krejčí,620,59000
Jonathan Kuminga,257,640000
Kyle Kuzma,1853,5000000
Jake LaRavia,233,210000
Zach LaVine,369,2000000
Jock Landale,933,69000
Chaz Lanier,1098,28000
Pelle Larsson,514,70000
A.J. Lawson,1157,36000
Caris LeVert,1196,225000
Kawhi Leonard,74,466000
Malevy Leons,1778,5865
E.J. Liddell,757,50000
Damian Lillard,3194,10000000
Dereck Lively II,,
Isaiah Livers,,
Kevon Looney,1184,431000
Brook Lopez,164,89000
Caleb Love,346,306000
Kevin Love,3817,3000000
Kyle Lowry,511,1000000
Khaman Maluach,1030,128000
Sandro Mamukelashvili,1268,104000
Terance Mann,1165,154000
Tre Mann,296,326000
Lauri Markkanen,554,468000
Naji Marshall,1194,49000
Alijah Martin,819,52000
Caleb Martin,1219,203000
Tyrese Martin,535,21000
Jahmai Mashack,777,18000
Bennedict Mathurin,181,224000
Karlo Matković,1366,13000
Tyrese Maxey,660,937000
Chris Mañon,1169,13000
Miles McBride,1439,185000
Jared McCain,1027,2000000
Mac McClung,871,1000000
CJ McCollum,3231,1000000
T.J. McConnell,1507,196000
Kevin McCullar Jr.,390,39000
Jaden McDaniels,738,174000
Doug McDermott,797,220000
Bryce McGowens,686,39000
Jordan McLaughlin,1130,54000
Liam McNeeley,853,60000
De'Anthony Melton,758,126000
Sam Merrill,1012,39000
Khris Middleton,594,400000
Brandon Miller,1012,256000
Emanuel Miller,457,7269
Jordan Miller,1238,35000
Leonard Miller,336,39000
Riley Minix,1184,5601
Josh Minott,530,37000
Yves Missi,443,47000
Ajay Mitchell,1460,59000
Pete Nance,1004,21000
Larry Nance Jr.,1108,404000
Andrew Nembhard,461,232000
Ryan Nembhard,588,59000
Aaron Nesmith,887,151000
Asa Newell,768,74000
Tristen Newton,532,29000
Yanic Konan Niederhäuser,1354,24000
Zeke Nnaji,353,41000
Jusuf Nurkić,685,388000
Royce O'Neale,901,146000
Josh Okogie,1314,105000
Onyeka Okongwu,493,160000
Isaac Okoro,530,165000
Lachlan Olbrich,1089,14000
Kelly Olynyk,519,171000
Norchad Omier,1123,34000
Kelly Oubre Jr.,6,1000000
Cameron Payne,981,210000
Gary Payton II,1025,651000
Micah Peavy,1120,17000
Sean Pedulla,1016,15000
Noah Penda,713,13000
Taelon Peter,924,9575
Julian Phillips,485,25000
Jalen Pickett,1470,16000
Scotty Pippen Jr.,769,482000
Daeqwon Plowden,4464,8107
Mason Plumlee,339,620
Brandin Podziemski,989,276000
Jakob Poeltl,1,16
Jordan Poole,514,2000000
Craig Porter Jr.,1113,21000
Kevin Porter Jr.,12,483000
Michael Porter Jr.,,
Bobby Portis,352,307000
Kristaps Porziņģis,936,2000000
Quinten Post,1075,85000
Micah Potter,1804,16000
Drake Powell,762,28000
Dwight Powell,2063,115000
Norman Powell,979,350000
Taurean Prince,398,228000
Payton Pritchard,1117,512000
Tyrese Proctor,928,105000
Olivier-Maxence Prosper,656,36000
Derik Queen,1061,105000
Neemias Queta,2736,190000
Immanuel Quickley,261,268000
Julius Randle,110,1000000
Maxime Raynaud,754,25000
Austin Reaves,673,2000000
Paul Reed,914,73000
Antonio Reeves,1078,44000
Naz Reid,812,351000
Will Richard,904,87000
Nick Richards,690,120000
Jase Richardson,1605,70000
Will Riley,823,30000
Zaccharie Risacher,786,128000
Duncan Robinson,2394,271000
Mitchell Robinson,1254,257000
Ryan Rollins,941,60000
Terry Rozier,77,1988
Max Shulga,716,9713
Pascal Siakam,526,861000
Anfernee Simons,1386,227000
KJ Simpson,1042,25000
Jericho Sims,596,91000
Javon Small,543,18000
Marcus Smart,283,802000
Dru Smith,800,13000
Jalen Smith,560,62000
Tolu Smith,1102,13000
Jabari Smith Jr.,1202,179000
Nick Smith Jr.,988,103000
Jeremy Sochan,709,445000
Thomas Sorber,920,78000
Cam Spencer,353,909
Pat Spencer,284,282
Isaiah Stevens,1061,12000
Isaiah Stewart,1238,137000
Julian Strawther,322,61000
Max Strus,1022,166000
Jalen Suggs,1756,443000
Jae'Sean Tate,2434,2357
Jayson Tatum,1053,7000000
Garrett Temple,1538,60000
Dalen Terry,698,142000
Adou Thiero,762,68000
Cam Thomas,565,363
Amen Thompson,1074,505000
Ausar Thompson,1112,345000
Ethan Thompson,998,19000
Klay Thompson,1594,17000000
Matisse Thybulle,166,299000
Xavier Tillman,3023,85000
Drew Timme,1771,85000
Nae'Qwan Tomlin,0,6
John Tonje,1068,34000
